question,response
What is the Ward Women Cell?,"The Ward Women Cell (वडा महिला सञ्जाल) is a local network under Kathmandu Metropolitan City established to empower women, ensure participation, and address gender-based violence at the ward level."
Why was the Ward Women Cell established?,"It was established to promote women’s rights, prevent gender-based violence, and strengthen women’s participation in local governance and justice delivery."
Who can be members of the Ward Women Cell?,"Women representatives from each Tole Lane Organization (TLO), women community leaders, and other active women in the ward can be members."
Who leads the Ward Women Cell?,"The Ward Chairperson coordinates, but leadership and facilitation are carried out collectively by women members of the Cell."
What are the objectives of the Ward Women Cell?,"To empower women, prevent and address violence, ensure participation in decision-making, and support justice and social security programs."
What activities does the Ward Women Cell conduct?,"Awareness campaigns, support services for survivors, coordination with police/health posts/organizations, and monitoring of women-related programs."
What rights do members have in the Ward Women Cell?,"They can participate in decision-making, raise concerns, recommend actions, and monitor program implementation."
What responsibilities does the Cell have?,"Identifying and reporting violence, supporting victims with legal/psychosocial aid, and coordinating with local authorities and stakeholders."
How often does the Ward Women Cell meet?,"The Cell holds meetings regularly (monthly or as specified) to review progress, discuss cases, and plan activities."
How are decisions made in the Ward Women Cell?,"Decisions are made collectively by members, usually through consensus or majority, aligned with Kathmandu Metropolitan City guidelines."
How does the Ward Women Cell support victims of gender-based violence?,"By providing immediate support, helping file complaints, connecting victims to police, health services, legal aid, and ensuring follow-up."
Can the Ward Women Cell provide financial support?,"The Cell itself may not provide direct funds but can recommend support and coordinate with Kathmandu Metropolitan City for financial/legal/rehabilitation assistance."
When was the Ward Women Cell guideline introduced?,"The operational procedure (कार्यविधि) of the Ward Women Cell was introduced in २०७९ (2022 A.D.)."
Which authority oversees the Ward Women Cell?,"Kathmandu Metropolitan City (काठमाडौँ महानगरपालिका) oversees and monitors the Ward Women Cell activities."
Does the Ward Women Cell work only for women?,"While its main focus is women and gender equality, it also addresses family and community-level issues connected to women’s safety and justice."
What type of cases can be reported to the Ward Women Cell?,"Cases of gender-based violence, domestic violence, harassment, discrimination, and other women-related issues can be reported."
How can a woman approach the Ward Women Cell?,"Women can contact their respective ward office, approach women representatives, or directly reach out during Cell meetings or through local contact points."
Does the Ward Women Cell provide legal services?,"The Cell itself does not give legal verdicts but coordinates with police, legal aid centers, and organizations to provide legal assistance."
Does the Ward Women Cell provide counseling services?,"Yes, the Cell coordinates for psychosocial counseling and rehabilitation support for victims of violence and discrimination."
Can men participate in the Ward Women Cell?,"Men are not direct members, but they may collaborate as stakeholders, supporters, or representatives of organizations working on gender equality."
What is the funding source for the Ward Women Cell?,"It is supported by the budget of Kathmandu Metropolitan City and can receive assistance through coordination with other organizations."
How does the Ward Women Cell coordinate with police?,"The Cell informs and collaborates with local police in cases of violence, supports victims during complaint filing, and follows up on case progress."
Can the Ward Women Cell influence ward-level planning?,"Yes, it can recommend and monitor women-related programs and ensure inclusion in ward-level development plans."
What happens if a case is beyond the Cell’s capacity?,"The Ward Women Cell refers the case to higher authorities such as Kathmandu Metropolitan City, police, or judicial bodies."
How does the Ward Women Cell ensure confidentiality?,"The Cell maintains confidentiality of victims’ information and ensures sensitive handling of cases."
Does the Ward Women Cell keep records?,"Yes, the Cell keeps records of cases, meetings, and activities for accountability and reporting purposes."
What are the expected outcomes of the Ward Women Cell?,"Increased women’s participation, reduction in gender-based violence, stronger community support, and access to justice for women."
Can the Ward Women Cell organize training programs?,"Yes, it can organize training, workshops, and awareness programs for women’s empowerment and leadership development."
What is the role of Tole Lane Organizations (TLOs) in the Ward Women Cell?,"TLOs nominate women representatives to participate in the Ward Women Cell and help in community-level coordination."
Does the Ward Women Cell work with NGOs/INGOs?,"Yes, it can coordinate with NGOs, INGOs, and community-based organizations for awareness, resources, and victim support."
Who can chair the Ward Women Cell meetings?,"Meetings are generally chaired by the Ward Chairperson or a designated representative, but women leaders actively facilitate discussions."
What happens if a member is inactive?,"The Cell can replace inactive members by nominating another active woman from the ward/community."
